Area,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Central African Republic,0.1029065,0.1050449,0.1063851,0.1012295,0.1001333,0.0984537,0.1008849,0.104682,0.0983456,0.0920409,0.0824523,0.0544992,0.0542724,0.0569788,0.0580467,0.0631219,0.0633758,0.0558141,0.0759856,0.0733489,0.0566065,0.0553598,0.0643046,0.068976,0.0750213,0.0808704,0.0716483,0.0525709,0.0592503,0.0655973,0.0774718,0.0798923,0.0598984,0.0598919,0.0598317,0.0591238,0.05922
Chad,0.1609071,0.1566459,0.1553021,0.1505537,0.151507,0.1543942,0.1604546,0.1631144,0.1483493,0.1421064,0.134351,0.1201643,0.1217504,0.1224328,0.122836,0.12515,0.0967473,0.0888396,0.1035249,0.0958471,0.0949173,0.0975755,0.0941078,0.0894048,0.0750292,0.0826592,0.0856223,0.0724582,0.0821432,0.080447,0.1057837,0.0870672,0.100207,0.0970358,0.1239255,0.1246555,0.1266682
Chile,0.2215952,0.2062637,0.2116305,0.2109636,0.2479918,0.2750366,0.28628,0.2629056,0.2824512,0.2581391,0.2714309,0.319583,0.3092199,0.3315242,0.3548044,0.3741922,0.3463517,0.3788075,0.3608171,0.3921388,0.3901882,0.4060099,0.4080452,0.4588391,0.4757698,0.4939225,0.4833504,0.5223159,0.5132017,0.5313586,0.5115802,0.5120361,0.4955128,0.5109392,0.5023032,0.4698123,0.4665055
"China, P.R.: Hong Kong",0.2978312,0.3043913,0.2957218,0.3248795,0.3664979,0.4636509,0.551505,0.6362144,0.5444145,0.5946077,0.5688304,0.5545312,0.604121,0.6347144,0.6640791,0.5992291,0.6270171,0.7738517,0.6934575,0.6978794,0.7095263,0.7392522,0.7108936,0.732361,0.7529942,0.7295375,0.7226321,0.7415978,0.7932836,0.7327527,0.7380257,0.7529946,0.7197752,0.7279239,0.7287232,0.7681165,0.7334458
"China, P.R.: Macao",0,0,0,0,0.3433906,0.3913678,0.3819349,0.3586017,0.3645642,0.3708683,0.3823267,0.3651583,0.365795,0.3851502,0.3427581,0.3338208,0.3277304,0.3360874,0.3322932,0.3370615,0.3313981,0.3449541,0.3470815,0.3392487,0.3218251,0.3144739,0.3282812,0.3480266,0.3654594,0.3673914,0.389188,0.3580644,0.3591417,0.3939082,0.405199,0.4321465,0.4363377
"China, P.R.: Mainland",0,0,0.3515568,0.3515568,0.3515568,0.352815,0.3604148,0.3615019,0.3525356,0.3383757,0.3438612,0.3413709,0.3578279,0.3690042,0.3638592,0.3591146,0.3843649,0.4007252,0.3944595,0.4070182,0.4343574,0.3700348,0.3581857,0.3969769,0.4449997,0.4411077,0.4888312,0.5381277,0.5065834,0.5392604,0.5416484,0.5408119,0.5567483,0.5668731,0.601617,0.6331421,0.6513166
Colombia,0.1791189,0.1854285,0.1883954,0.1980621,0.2011263,0.1924006,0.1700744,0.155616,0.160977,0.1638925,0.173921,0.1562735,0.157007,0.1691118,0.1928829,0.1899757,0.1780654,0.219417,0.2148252,0.2293843,0.197814,0.2206603,0.2314202,0.2517963,0.26974,0.3236215,0.3471603,0.3289792,0.3717823,0.3944846,0.3931558,0.4000443,0.4303425,0.4283505,0.4300256,0.4400218,0.4423328
Comoros,0,0,0.0266374,0.0288381,0.0300779,0.0275966,0.0279361,0.0304257,0.0318419,0.0321044,0.0344956,0.0352915,0.0363145,0.036149,0.0370303,0.0379296,0.0372898,0.0392261,0.0415567,0.0495119,0.0379345,0.0370601,0.03802,0.0411796,0.0450491,0.0427015,0.0425501,0.0444369,0.045088,0.0439431,0.0446429,0.051305,0.0515708,0.0526858,0.0533066,0.0543407,0.0554198
"Congo, Democratic Republic of",0,0,0,0,0,0,0,0,0,0,0,0.0979606,0.1025016,0.1084039,0.1116972,0.0361892,0.0458047,0.022781,0.0961329,0.0188285,0.0237072,0.0805554,0.0394766,0.0370242,0.0428563,0.0489419,0.0534461,0.0439054,0.040287,0.0398049,0.03465,0.0380325,0.0391608,0.0406792,0.0501578,0.0486746,0.0525876
"Congo, Republic of",0.1136406,0.1192506,0.1237304,0.1255151,0.1279683,0.1436305,0.1497573,0.1479321,0.1303787,0.1202935,0.0888606,0.05459,0.0577027,0.059743,0.0612469,0.0510645,0.0482972,0.0245814,0.1017796,0.0240797,0.035664,0.0969063,0.053866,0.0671444,0.0513474,0.0460087,0.0479329,0.0502575,0.0410673,0.061051,0.0515191,0.0509425,0.0589137,0.0617179,0.0814864,0.1036512,0.1063062
Costa Rica,0.3115632,0.2883195,0.2538338,0.2659317,0.2619985,0.2452208,0.2319358,0.1964696,0.1650845,0.1598928,0.1747604,0.1364233,0.1343156,0.1425845,0.1368525,0.1442232,0.1651546,0.1714356,0.1867342,0.2043408,0.1779345,0.1925445,0.2115237,0.2268706,0.184405,0.1930559,0.2049665,0.2260123,0.2237959,0.2298322,0.2194839,0.2365652,0.2396217,0.2753993,0.2904645,0.2785475,0.2749437
Cote d'Ivoire,0.1875147,0.1890332,0.1884178,0.1982142,0.1914278,0.1892586,0.1873805,0.185433,0.1847938,0.1804601,0.1829109,0.1791891,0.1751856,0.1640332,0.1670005,0.1542142,0.1699151,0.1698544,0.1597768,0.1772461,0.1717449,0.1597542,0.1556924,0.1476534,0.1602167,0.1589542,0.176105,0.1860064,0.1843911,0.1812428,0.1945755,0.1780246,0.1883291,0.2038877,0.2098097,0.2194288,0.2323907
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0.1616523,0.1823821,0.1792209,0.2098796,0.1947357,0.2321491,0.2228652,0.2401386,0.248135,0.2598017,0.2845223,0.2862193,0.321126,0.3261951,0.3965518,0.4430369,0.3807297,0.3932711,0.3983907,0.4014052,0.4114116,0.4062027,0.4079744,0.399701,0.4113067
Cyprus,0.3774789,0.3755632,0.3746034,0.3745971,0.3701599,0.3738787,0.3771085,0.3774741,0.4210157,0.4273625,0.4351294,0.4422555,0.4225936,0.4446509,0.445918,0.4629579,0.4833746,0.5003047,0.5369571,0.6818558,0.6829689,0.6194973,0.5077459,0.5490479,0.5306425,0.5291519,0.6434261,0.6821395,0.6218487,0.6678038,0.6311226,0.5852277,0.5670196,0.5086696,0.4864674,0.4751741,0.4749455
Czech Republic,0,0,0,0,0,0,0,0,0,0,0.3082858,0.3160946,0.3161381,0.255473,0.3190092,0.3381616,0.3524095,0.3771588,0.3334361,0.327177,0.3647281,0.316562,0.3331186,0.3416293,0.3798269,0.4366831,0.396747,0.3954019,0.4156663,0.3746827,0.3501943,0.3669851,0.3588362,0.3714482,0.3694339,0.3720352,0.3680759
Denmark,0.3093128,0.332226,0.3193577,0.35914,0.4035951,0.4279843,0.4617566,0.5142126,0.5602504,0.5805603,0.5466591,0.5238275,0.5507457,0.5715483,0.5723318,0.5505621,0.5877694,0.6153585,0.6714166,0.665261,0.724326,0.7187951,0.6119047,0.6346248,0.6760766,0.6955654,0.7153287,0.7371114,0.6644645,0.7290608,0.7181042,0.6570138,0.6835181,0.668941,0.6688688,0.6677839,0.643344
Djibouti,0,0,0,0,0.1780894,0.1881076,0.1899839,0.1901541,0.1943709,0.1988175,0.1965605,0.1895708,0.1850857,0.1804242,0.1757857,0.1614427,0.1698989,0.1732834,0.1767565,0.168226,0.1698849,0.163042,0.1696168,0.1502403,0.1494303,0.1507294,0.1681685,0.1719813,0.1685447,0.1685773,0.166663,0.1577548,0.1556972,0.1491407,0.1429701,0.1560766,0.1628994
Dominica,0.2225225,0.2381385,0.2295294,0.2427261,0.2225879,0.2309586,0.2183661,0.212301,0.2226652,0.2221563,0.2355212,0.2085782,0.2064827,0.1997402,0.1887828,0.1838778,0.1887397,0.2028229,0.2068316,0.2042498,0.2247329,0.2476997,0.245895,0.2276087,0.218559,0.216837,0.2257475,0.2294704,0.2222769,0.2262771,0.2280628,0.2337897,0.234033,0.2397351,0.233403,0.2382976,0.2301071
Dominican Republic,0.1228786,0.1184903,0.1326553,0.1269843,0.110266,0.1010825,0.1210175,0.1232201,0.1054264,0.1189119,0.1024961,0.0977977,0.1246798,0.1240171,0.1094704,0.119717,0.1287928,0.136283,0.1303835,0.1368267,0.138937,0.1436008,0.1508244,0.1423053,0.1208107,0.1242669,0.1358778,0.1421013,0.1398574,0.1392578,0.1396744,0.1158954,0.1481882,0.1551339,0.1591417,0.1792184,0.1801991
Ecuador,0.1706631,0.1928813,0.1927414,0.2100034,0.2129981,0.1751734,0.1928173,0.1832536,0.1161175,0.110474,0.121168,0.1107291,0.1128208,0.1193948,0.1125509,0.1254164,0.1389333,0.1190035,0.1272729,0.1423099,0.124396,0.1352803,0.1250625,0.1225638,0.1490096,0.1532129,0.1708279,0.1917557,0.1864737,0.2235568,0.195728,0.1969107,0.190193,0.1954372,0.1993738,0.2030517,0.1985936
Egypt,0.1461669,0.1756487,0.1792637,0.1797839,0.182467,0.1844603,0.1903409,0.1597034,0.158741,0.1469745,0.1508678,0.1519608,0.154136,0.1532404,0.1829673,0.1892452,0.2128335,0.2558389,0.2435757,0.2796535,0.286547,0.2503151,0.2359902,0.2478454,0.2699089,0.3595374,0.3706737,0.3867166,0.452134,0.4000215,0.3316526,0.2905732,0.2848168,0.272321,0.3018684,0.2790112,0.3069243
