Area,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Papua New Guinea,0.1864881,0.190402,0.1931823,0.1869628,0.1950706,0.2062646,0.2189753,0.2217453,0.1991061,0.1680879,0.167461,0.1834731,0.1504705,0.1384896,0.1611146,0.1571955,0.1470715,0.1590519,0.1581381,0.1447535,0.1355348,0.1683053,0.1450133,0.1295406,0.1410711,0.1644611,0.1732117,0.1826482,0.1865759,0.231134,0.213341,0.2044603,0.2224621,0.2232633,0.224178,0.2353506,0.2326944
Paraguay,0.1528954,0.1411102,0.1478406,0.1395026,0.1252247,0.1041348,0.1043544,0.0921832,0.1134248,0.1122099,0.1213959,0.1028087,0.1187395,0.1034292,0.1354659,0.1380764,0.1407924,0.1209763,0.1138688,0.1381829,0.1223551,0.1025541,0.0701661,0.0617825,0.1052059,0.0991931,0.0893188,0.092472,0.1123328,0.1045335,0.1162147,0.1338303,0.1262809,0.1283529,0.1236865,0.1324742,0.1334515
Peru,0.1821151,0.2248477,0.2238242,0.2521642,0.2294847,0.1863309,0.1583095,0.134692,0.163126,0.1501159,0.0989003,0.0939462,0.1236122,0.1844365,0.2114418,0.2099883,0.2034297,0.2265877,0.2246521,0.2100656,0.229367,0.2127276,0.2273941,0.2324187,0.2196581,0.2383245,0.2506488,0.2959354,0.2716725,0.2941402,0.3039187,0.2912403,0.3062358,0.318505,0.3315684,0.3750084,0.3750551
Philippines,0.3794459,0.378715,0.3563372,0.3544404,0.3062673,0.2797951,0.2317782,0.2475582,0.2575175,0.2342554,0.2147988,0.2501549,0.2767234,0.316454,0.3588597,0.3218765,0.3686408,0.4125932,0.3731577,0.400133,0.3726702,0.330687,0.3293287,0.343375,0.3363763,0.3300464,0.3292276,0.3496093,0.3278904,0.3345318,0.3432077,0.3506373,0.3721981,0.3736491,0.3753982,0.3791209,0.3777103
Poland,0.6084788,0.6084788,0.6084788,0.5839396,0.5583023,0.5505339,0.5417587,0.5087594,0.4358564,0.3256106,0.2472485,0.2777511,0.3157359,0.3868576,0.3720437,0.3170973,0.3621075,0.3702039,0.3475406,0.3374343,0.396789,0.3501621,0.3042626,0.3389305,0.3751245,0.3971616,0.4247845,0.4589686,0.4768658,0.4635161,0.4663198,0.4884667,0.4750505,0.4801679,0.4711142,0.4746147,0.4737788
Portugal,0.3920646,0.3953809,0.3972492,0.39773,0.4051985,0.3964235,0.3943923,0.3592183,0.3752343,0.3548405,0.3118825,0.3536065,0.3794208,0.4190772,0.501299,0.4514182,0.4701858,0.591908,0.6600448,0.6209902,0.6936518,0.6420996,0.6434777,0.6497899,0.666791,0.688271,0.7188445,0.8111686,0.7424815,0.7029615,0.7105371,0.6625511,0.6500483,0.6825155,0.7277995,0.6986489,0.6911288
Qatar,0.2586025,0.2641529,0.2832021,0.2989416,0.2868352,0.3054926,0.3371801,0.3381058,0.3338892,0.3392179,0.3214762,0.3442775,0.3695618,0.3756015,0.3478069,0.3542727,0.400729,0.3945493,0.430141,0.4320655,0.4070958,0.4488469,0.4686961,0.5140261,0.5085962,0.5658431,0.5464864,0.5056819,0.52513,0.5126109,0.5182623,0.4481542,0.4817276,0.4576862,0.5040547,0.4979292,0.5544119
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0.1021911,0.1150418,0.0939635,0.093136,0.1047796,0.1480285,0.1444813,0.1266718,0.1212275,0.123886,0.1317747,0.1445396,0.142659,0.1910457,0.2245534,0.2633789,0.2815992,0.2883725,0.2903712,0.3083937,0.2990978,0.2975699,0.2988441,0.308297,0.308145
Russian Federation,0,0,0,0,0.000133,0.000133,0.0001317,0.0001317,0.0001306,0.0001301,0.0001299,0.3440226,0.3421626,0.3247884,0.3241484,0.1495013,0.1654815,0.2246255,0.2082533,0.2226205,0.2472218,0.3000501,0.3244034,0.379669,0.3524666,0.3798051,0.4681088,0.4834093,0.4377336,0.5507067,0.5039261,0.534097,0.4901683,0.4754237,0.4630554,0.4527557,0.5111977
Rwanda,0.096195,0.0964599,0.0967474,0.0965547,0.09707,0.0939853,0.0931626,0.1036191,0.1149458,0.1155508,0.1074552,0.0772701,0.0860623,0.094441,0.1035134,0.1221817,0.0962435,0.0846834,0.0859487,0.0837792,0.1039212,0.0849067,0.0847855,0.0905355,0.0747908,0.0642996,0.0910208,0.0731858,0.0818653,0.0743894,0.0793231,0.0855378,0.0868375,0.090946,0.0926434,0.0968918,0.0975775
Samoa,0.1376813,0.1377069,0.1366498,0.1324214,0.1334405,0.1352031,0.1436536,0.1542279,0.1621205,0.1581765,0.1623952,0.1672457,0.1670602,0.1289506,0.1325511,0.1373391,0.1333155,0.1359649,0.1409322,0.1353491,0.1341554,0.1497577,0.1159002,0.1397382,0.1231227,0.1441668,0.1724234,0.1884735,0.1764288,0.1784826,0.1834963,0.1827195,0.1740075,0.1901082,0.2096697,0.1917605,0.202795
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0.1786219,0.1786219,0.1821195,0.1821195,0.1821195,0.1802587,0.1173018,0.1145797,0.0963648,0.0680539,0.0936739,0.07789,0.0736664,0.0727751,0.0786502,0.0853766,0.0905204,0.0949449,0.0963466,0.0937991,0.1099603,0.1239059,0.1307468,0.1418517,0.1400118,0.1355017,0.1316119,0.1191139
Saudi Arabia,0.0899866,0.0917804,0.1180862,0.1472079,0.1596971,0.1746714,0.1919194,0.1913261,0.2107152,0.2076028,0.163856,0.194048,0.2062178,0.2115187,0.2215427,0.2226909,0.2175804,0.2597759,0.2625999,0.2573375,0.2588322,0.2836485,0.3173162,0.4533478,0.4734685,0.4942144,0.5033398,0.5361331,0.4955683,0.5292261,0.4475441,0.4746039,0.5089706,0.4822991,0.5291895,0.5538768,0.5245051
Senegal,0.1092274,0.1105902,0.1085012,0.1187625,0.1142825,0.1128723,0.1093731,0.1024828,0.103769,0.1001294,0.0964519,0.0954048,0.096376,0.1003659,0.0968101,0.0876235,0.1067142,0.1175008,0.1113,0.1219848,0.1194695,0.1176822,0.1150268,0.1207159,0.1226746,0.1264506,0.1364566,0.1455316,0.1324834,0.1282802,0.1330834,0.1316776,0.1301082,0.1324034,0.1276036,0.1280229,0.150874
"Serbia, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1440564,0.166941,0.1708312,0.177855,0.1746977,0.2018391,0.2252101,0.1902304,0.1689028,0.1868011,0.1314255,0.1749423,0.2053737,0.2776937,0.2766168,0.2397543,0.237863,0.232402,0.230144,0.2540275,0.2583495,0.2572937,0.2664316
Seychelles,0.2886253,0.2837488,0.2777453,0.2729714,0.2474172,0.2066126,0.176486,0.1625485,0.1618153,0.1816588,0.1764697,0.1814576,0.1805252,0.1707388,0.2002754,0.2061596,0.1975927,0.2120164,0.2223574,0.2304263,0.242249,0.2576993,0.2681338,0.2749484,0.2740936,0.2666551,0.269726,0.2697858,0.275768,0.2576094,0.2658006,0.2763911,0.2829732,0.2915474,0.2972192,0.2932724,0.3043514
Sierra Leone,0.076273,0.0691692,0.0689617,0.0627792,0.0620395,0.0670886,0.0928401,0.0676999,0.0846383,0.0561573,0.0555096,0.0907402,0.0538689,0.047512,0.0529922,0.0580371,0.0601625,0.0664665,0.0585576,0.0655781,0.0638513,0.074224,0.073568,0.0746783,0.0687542,0.0648404,0.0606185,0.0506754,0.055934,0.0706709,0.0722498,0.071989,0.0688007,0.0534098,0.0824248,0.0748846,0.1114692
Singapore,0.4764956,0.4965115,0.4558804,0.5093482,0.4677973,0.4220671,0.4770257,0.5188192,0.4754003,0.545584,0.5951889,0.5413208,0.5342508,0.5858154,0.5909318,0.5732381,0.5865058,0.6484991,0.6492105,0.6896553,0.7205211,0.7690618,0.7636513,0.7550879,0.734265,0.7085928,0.714781,0.7415847,0.7993452,0.7162967,0.7061385,0.7039412,0.697032,0.7080687,0.7004629,0.70818,0.7140425
Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0.2958155,0.2457393,0.2470829,0.2147773,0.200037,0.2384346,0.2459047,0.2614166,0.2486014,0.2390715,0.2067169,0.2410798,0.2414201,0.2570991,0.2607946,0.272469,0.2838393,0.2892238,0.2955608,0.3060757,0.3038501,0.3071398,0.3177206,0.3173257,0.321062,0.3241126
Slovenia,0.0103706,0.0103706,0.0103706,0.0103706,0.0103706,0.0103706,0.0103706,0.0103706,0.0103706,0.0103706,0.0103706,0.3239489,0.3283634,0.3567692,0.3920744,0.4410998,0.4728333,0.4274518,0.4488768,0.4763096,0.4431355,0.5068762,0.5059893,0.4748434,0.5324807,0.5376112,0.5352399,0.5742375,0.5267831,0.5766163,0.5354862,0.5026132,0.4931132,0.4556401,0.415641,0.3858905,0.3851537
Solomon Islands,0.2028054,0.2106094,0.1955951,0.202643,0.1933405,0.1977992,0.1917189,0.1703081,0.1594949,0.165677,0.1625667,0.1602304,0.161972,0.1404806,0.1512852,0.1227322,0.0923766,0.0869929,0.0914116,0.0997862,0.0967599,0.0841713,0.0769952,0.1029954,0.0745962,0.07412,0.086347,0.0897121,0.0909394,0.0944116,0.0900225,0.0885421,0.0876247,0.0842521,0.0886754,0.0910127,0.0909576
South Africa,0.3435288,0.3197848,0.3201661,0.331243,0.2947189,0.3036438,0.3465906,0.3427484,0.3366485,0.3470972,0.3310724,0.3266543,0.3259971,0.3304021,0.3409778,0.3487387,0.3794613,0.4129277,0.4580105,0.4777307,0.4825915,0.4713609,0.4928508,0.4365355,0.4738041,0.5082384,0.5280558,0.5463977,0.5700758,0.5928935,0.585033,0.5697591,0.5681308,0.5744076,0.5862613,0.6058978,0.6178052
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070518,0.0740199,0.049887,0.0501164,0.0553633,0.0581399,0.0511397,0.0596159,0.057228,0.0635995
Spain,0.3811401,0.3913851,0.3981681,0.3900732,0.4096993,0.4157234,0.399325,0.3894626,0.3983901,0.3744458,0.4094776,0.4478815,0.4439652,0.4644269,0.4939906,0.4782189,0.5054375,0.5684509,0.6454349,0.8127988,0.8700243,0.8585935,0.8316208,0.8395668,0.8618164,0.8732995,0.9116333,0.9134715,0.8647482,0.8838821,0.8575861,0.8449967,0.820273,0.8410577,0.8915855,0.8915823,0.8811775
Sri Lanka,0.1188824,0.1357207,0.1477654,0.1536589,0.1344145,0.1477386,0.1513634,0.1654938,0.170308,0.1545705,0.1653981,0.1867618,0.1980942,0.2412422,0.2624557,0.2324871,0.2236717,0.2415052,0.2302688,0.2235638,0.2239235,0.2270096,0.2423113,0.2624243,0.2441366,0.2692596,0.2696757,0.2675387,0.2599842,0.2563323,0.2914623,0.2938247,0.2751835,0.2862646,0.2918498,0.286413,0.2805199
St. Kitts and Nevis,0.3395872,0.3493114,0.348693,0.380596,0.3399784,0.3084808,0.2971645,0.3011151,0.346689,0.3396665,0.3382355,0.3008755,0.3265919,0.3271695,0.3210105,0.3264299,0.3235687,0.3057601,0.3093989,0.3341605,0.3168331,0.3244807,0.3220613,0.3097487,0.3239351,0.325609,0.3261685,0.3156859,0.3493638,0.3593931,0.3597656,0.3465717,0.3524519,0.3721712,0.3600077,0.3660475,0.3563818
St. Lucia,0.3840374,0.3957973,0.4076152,0.4090668,0.3762862,0.3562189,0.3220941,0.3268984,0.359782,0.382793,0.3746282,0.3217312,0.3169788,0.3315744,0.3333825,0.3264134,0.3334427,0.3317119,0.341221,0.3481055,0.3317684,0.3448757,0.3156393,0.3327482,0.3473971,0.3568435,0.3522769,0.3592215,0.3701683,0.3580584,0.3648402,0.365073,0.3644736,0.3558862,0.3530822,0.3256979,0.3095484
St. Vincent and the Grenadines,0.2027456,0.2048866,0.2149178,0.2248782,0.1916575,0.1962412,0.1834965,0.1882467,0.1995843,0.1927202,0.1792549,0.1943576,0.1906203,0.1837814,0.1902279,0.2020123,0.2021893,0.2046976,0.2039913,0.2068556,0.2217571,0.2027971,0.2086848,0.2056948,0.2076548,0.2224241,0.2268794,0.2382445,0.2300642,0.2242708,0.2005458,0.2027894,0.1973405,0.2085242,0.2066185,0.2071934,0.1999238
Sudan,0.0827853,0.0839689,0.1032307,0.0936823,0.0897321,0.0858987,0.0834167,0.0598862,0.0545046,0.0529652,0.0621007,0.0662735,0.0747238,0.0733879,0.0802008,0.0775961,0.0906722,0.0598741,0.0694984,0.0534593,0.0583733,0.0419544,0.0620532,0.0963919,0.0598446,0.0833874,0.1091491,0.0941053,0.0877761,0.0940434,0.1000931,0.0881953,0.090583,0.0956496,0.1026939,0.1084265,0.1067602
Suriname,0.1138901,0.1231661,0.1365615,0.1428613,0.1478748,0.1600019,0.1649261,0.1596441,0.160948,0.1696854,0.150324,0.1613336,0.1588612,0.1489858,0.0960103,0.0700651,0.0767647,0.0925443,0.112095,0.1113207,0.109899,0.1131252,0.1218717,0.1231048,0.1385017,0.1495588,0.1512382,0.1645861,0.1762553,0.1851358,0.1955616,0.198028,0.2014639,0.1994992,0.2116104,0.2077168,0.2158981
Swaziland,0.1416813,0.1489161,0.1363805,0.1388116,0.1379123,0.1279712,0.123232,0.121518,0.1292136,0.1415398,0.1419612,0.152011,0.1519661,0.1372888,0.1017603,0.1145001,0.2737514,0.2768061,0.2738154,0.1055982,0.1165221,0.1256725,0.103253,0.1102872,0.1233202,0.1328483,0.142147,0.1477719,0.1606429,0.1512073,0.1557898,0.1634816,0.160351,0.1684355,0.176108,0.1721102,0.16942
Sweden,0.309787,0.3106248,0.3236536,0.3540575,0.3848467,0.4025095,0.4425516,0.436959,0.4501132,0.4342806,0.405162,0.3755896,0.4198204,0.456557,0.5290525,0.5029687,0.5390071,0.6026985,0.6476895,0.6622422,0.751904,0.7543373,0.7175728,0.6920083,0.7163765,0.7262032,0.7991039,0.8250805,0.7470221,0.7833382,0.7595962,0.7386427,0.7275128,0.7265458,0.7224151,0.7206975,0.7154871
Switzerland,0.5912024,0.5953938,0.6485196,0.6702431,0.7439853,0.7812583,0.7891178,0.7654648,0.7646169,0.8163669,0.8192102,0.7107849,0.6956152,0.8128003,0.8412256,0.8526978,0.8977641,0.9652289,0.9850715,0.9392747,0.9547618,0.9773899,0.9432459,0.9255655,0.7911304,0.8055021,0.824482,1,0.9794604,0.950694,0.9300383,0.9525165,0.9068336,0.9262304,0.9283906,0.9476667,0.9374488
Syrian Arab Republic,0.1312639,0.1307182,0.1321297,0.1339115,0.1346013,0.1340097,0.1333384,0.1326678,0.1320355,0.1333939,0.1331248,0.135976,0.1373024,0.1350908,0.1334725,0.1329108,0.1326171,0.1384951,0.1299289,0.1434318,0.1412937,0.1287913,0.1173373,0.112429,0.1039562,0.1061525,0.1316648,0.1485257,0.1286958,0.1541405,0.1413389,0.1335567,0.1210273,0.1296324,0.1291858,0.1419591,0.1391445
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030591,0.0298885,0.0461892,0.0666277,0.0870792,0.0606221,0.0540788,0.0528537,0.0580686,0.0837386,0.0872936,0.0990347,0.071847,0.0934628,0.0846509,0.0692253,0.0826789,0.0793975,0.1068865
Tanzania,0.1577168,0.1518798,0.155042,0.1473668,0.1470331,0.1633172,0.1467518,0.1466927,0.1400744,0.135137,0.1310418,0.126796,0.1111953,0.1100208,0.1028497,0.0913106,0.0920597,0.0734905,0.0815287,0.0538597,0.0861858,0.0771046,0.0851981,0.0967387,0.099001,0.1016151,0.1132702,0.1188128,0.1246674,0.1238636,0.1212904,0.1191994,0.1245629,0.1220417,0.1160022,0.1183376,0.1164265
Thailand,0.3311523,0.3376028,0.3309975,0.3444341,0.369739,0.3806219,0.3476501,0.3469016,0.344872,0.3438614,0.3943937,0.3737024,0.4956419,0.4962584,0.48472,0.4379249,0.3502167,0.4613458,0.4619359,0.4565746,0.4471324,0.4898416,0.4983085,0.5573084,0.5653667,0.5309808,0.5218051,0.5175548,0.5764925,0.582817,0.6283843,0.6336092,0.6410797,0.7055599,0.6976952,0.7042582,0.7278029
"Timor-Leste, Dem. Rep. of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724899,0.0742085,0.0791688,0.077981,0.0772015,0.0809446,0.0857465,0.0915372,0.0919331,0.0952406,0.1258661,0.1262878,0.1303595,0.1247444,0.1233612
Togo,0.1141133,0.1124304,0.1144177,0.1229803,0.1215286,0.1188487,0.1184613,0.1122769,0.1008919,0.0964571,0.1016142,0.1033433,0.0971424,0.1024934,0.1018536,0.1062456,0.1049052,0.117177,0.1056507,0.1056305,0.1162124,0.0867135,0.0774411,0.0840305,0.1285807,0.1083033,0.1053473,0.1245716,0.1240508,0.1086754,0.1139781,0.1348854,0.1307523,0.1283027,0.1278779,0.124757,0.1892342
Tonga,0.1782867,0.1820671,0.1857184,0.1842258,0.1849958,0.1885149,0.1878706,0.191761,0.1968435,0.1655479,0.1482139,0.144391,0.1180182,0.1653373,0.1818888,0.1835273,0.1760203,0.1841458,0.1925325,0.1842876,0.1920863,0.2013367,0.1867121,0.1809387,0.1803994,0.1831421,0.1780007,0.19271,0.185816,0.1824454,0.1913681,0.2030683,0.1828583,0.1843183,0.1852762,0.2170935,0.2221018
Trinidad and Tobago,0.2041069,0.2170019,0.211233,0.2232563,0.2209397,0.2101668,0.2461608,0.2707649,0.2587157,0.2608384,0.2492371,0.2437098,0.2225076,0.2403075,0.2142164,0.2453833,0.2364129,0.2881981,0.2638085,0.2587321,0.2626125,0.2892816,0.3180237,0.3539071,0.356321,0.3325825,0.3534426,0.346352,0.2883579,0.3565325,0.3294167,0.3187464,0.3277723,0.320839,0.3107278,0.3242402,0.3375334
Tunisia,0.1982355,0.2135453,0.2191152,0.2200414,0.2202273,0.2179197,0.2234748,0.1976687,0.2013506,0.2073254,0.2003525,0.2026706,0.2013412,0.2052626,0.222427,0.2294022,0.2029001,0.2070833,0.2006837,0.2180309,0.2362415,0.2188775,0.2135691,0.2090859,0.2092616,0.2242072,0.2209575,0.2228862,0.2533294,0.2460652,0.256054,0.2489376,0.2550194,0.2530344,0.2622911,0.2683276,0.2709064
Turkey,0.1198925,0.1521998,0.1689184,0.1883509,0.1608475,0.1568114,0.1760781,0.1840636,0.1531584,0.1512985,0.1728909,0.1880817,0.2122371,0.2621107,0.3573684,0.3543663,0.373543,0.3303387,0.330112,0.3021892,0.4145303,0.3768168,0.4005378,0.4148006,0.4043272,0.4326901,0.4326431,0.4623999,0.4464501,0.4739149,0.4854246,0.4766872,0.4870008,0.505945,0.5177509,0.5086236,0.5029746
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1407573,0.1345356,0.1238986,0.1471253,0.1339066,0.1338255,0.1250907,0.1286889,0.1203274,0.1196868,0.113575,0.0966896,0.0971116,0.1159349,0.1145153,0.1183482,0.1186977,0.1129195,0.1195431
Uganda,0.0698088,0.0571945,0.0534235,0.0540732,0.049768,0.0725289,0.0616995,0.0369244,0.0422861,0.0533737,0.0568365,0.06482,0.0376611,0.044335,0.0370293,0.0442315,0.0444482,0.0687217,0.0981039,0.0914291,0.0852204,0.0825775,0.0882391,0.093933,0.0889606,0.0906467,0.0959755,0.100196,0.1135521,0.0995315,0.1007812,0.1229119,0.11688,0.1091837,0.1166665,0.1166592,0.1176182
Ukraine,0.1348461,0.1386835,0.1779801,0.1393661,0.1264676,0.1334899,0.1225945,0.0991271,0.1069217,0.1087849,0.0928313,0.0769834,0.0771482,0.07659,0.0774838,0.0908674,0.109441,0.1115893,0.1158613,0.1346475,0.1518833,0.1559082,0.1310925,0.1676133,0.2047574,0.1981133,0.2278876,0.2727661,0.2488963,0.2292251,0.2370585,0.2239311,0.2299891,0.2529027,0.2330784,0.2257754,0.2145746
United Arab Emirates,0.1763381,0.1711029,0.1845054,0.1991047,0.1997977,0.2026464,0.2357491,0.2304942,0.2391695,0.2296793,0.1970114,0.2287943,0.2138201,0.2420076,0.2407535,0.2408767,0.2434138,0.2470789,0.2606413,0.2761185,0.2741319,0.2635717,0.2733456,0.2926566,0.3550787,0.4411434,0.4395916,0.4986258,0.5240335,0.5413641,0.4566053,0.4275624,0.446032,0.4620268,0.5758778,0.5067524,0.4989594
United Kingdom,0.565059,0.4592107,0.4798598,0.5105962,0.5488594,0.5964987,0.6066893,0.703629,0.6369691,0.627117,0.5830835,0.5782588,0.597248,0.6832328,0.7078772,0.6964293,0.7203666,0.761606,0.7919218,0.8272722,0.850621,0.8833818,0.8217094,0.8524895,0.8597165,0.8697173,0.8950677,0.9374525,0.8792254,0.8888338,0.8430973,0.841553,0.8243028,0.8415638,0.8421006,0.8330059,0.8244633
United States,0.3485371,0.3841743,0.4121374,0.4231256,0.4873674,0.5292805,0.6141506,0.6383231,0.5817126,0.5969827,0.5720667,0.5717202,0.5764979,0.6546074,0.6454618,0.7255723,0.7821481,0.8161382,0.8400068,0.8677282,0.8515995,0.8622175,0.8580133,0.8633773,0.8625408,0.8594282,0.8617172,0.869008,0.8388114,0.8694105,0.871448,0.8618427,0.8717868,0.8672936,0.8775368,0.8878177,0.8735749
Uruguay,0.2145181,0.2228002,0.3115444,0.2380664,0.2135332,0.2275453,0.2067195,0.1657528,0.179911,0.1833275,0.156241,0.1312245,0.1239735,0.1230362,0.1155802,0.1152662,0.0943715,0.0888742,0.1312085,0.1204014,0.1534079,0.1551121,0.1493478,0.1452797,0.1493833,0.1746048,0.1880416,0.197323,0.1896306,0.1796246,0.2115327,0.2225524,0.2204582,0.2173862,0.221578,0.2270069,0.2499323
Uzbekistan,0.2030133,0.2123917,0.1750138,0.1812267,0.1519623,0.1646994,0.1434969,0.1590377,0.1664138,0.1839502,0.1769526,0.1924226,0.1899079,0.1908547,0.2022313,0.2210656,0.2242303,0.2276196,0.2426746,0.2070027,0.1914868,0.2410929,0.2864287,0.3420668,0.2558136,0.3240915,0.2040829,0.1952655,0.1963178,0.199843,0.2038823,0.212672,0.2288973,0.2274281,0.2315461,0.2337386,0.2414256
Vanuatu,0.1257464,0.1234144,0.1143643,0.0972028,0.0958382,0.0924885,0.0872297,0.0814717,0.0802434,0.0778669,0.0802416,0.0731918,0.0720474,0.0761284,0.0757282,0.1124456,0.1412409,0.1257941,0.1123879,0.1041408,0.1024004,0.115816,0.1394279,0.1406357,0.1454569,0.148987,0.1455281,0.1533872,0.1737316,0.1699167,0.1884198,0.1846358,0.1907333,0.1899083,0.196352,0.191718,0.2040916
"Venezuela, Republica Bolivariana de",0.2436848,0.2393371,0.2525972,0.2580549,0.2290798,0.2302139,0.2558326,0.2558535,0.2589145,0.1903277,0.2264769,0.223189,0.2037489,0.1907893,0.1576879,0.1341609,0.1716535,0.1860591,0.1746449,0.1460359,0.1660235,0.1647313,0.1548075,0.1627855,0.1745481,0.1796865,0.196263,0.203548,0.1921112,0.196938,0.2094843,0.2100618,0.2215718,0.2363807,0.2479218,0.2416667,0.231744
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0.1915128,0.202874,0.1887497,0.1998996,0.2155322,0.2157799,0.2220279,0.2293732,0.2228235,0.2200939,0.2467107,0.2396424,0.2341606,0.2224867,0.2394718,0.3862396,0.3188094,0.3670395,0.3443052,0.2783242,0.2446991,0.268282,0.3135997,0.3035893,0.3204389
"Yemen, Republic of",0.1175709,0.1212841,0.1223658,0.123942,0.126089,0.1261428,0.1234095,0.1227811,0.1249472,0.1248199,0.1268727,0.1340467,0.1327748,0.1317708,0.1248697,0.1248979,0.118769,0.1193141,0.1178223,0.1177168,0.1171385,0.1240574,0.1224848,0.118467,0.1253505,0.1251319,0.1219192,0.1256355,0.1374082,0.1337683,0.1359468,0.1297982,0.1306892,0.1258153,0.1295622,0.1215874,0.1307874
Zambia,0.1776043,0.1521667,0.1521667,0.1110755,0.1180707,0.1007576,0.1096765,0.1075054,0.1075054,0.1075054,0.0569209,0.0664373,0.0673128,0.0673128,0.0493234,0.0628276,0.0773378,0.0896642,0.0656558,0.0544585,0.0798856,0.0651828,0.0863978,0.0754966,0.0841565,0.0789214,0.1041045,0.0989852,0.0939794,0.0894274,0.0938278,0.1147696,0.1278975,0.1245836,0.1123084,0.1161867,0.1212148
Advanced Markets,0.3098991,0.3136125,0.3190541,0.3334039,0.3551844,0.3800151,0.3984812,0.4181861,0.4098432,0.4202084,0.4248662,0.43107,0.4348743,0.478347,0.4985166,0.4935142,0.5114806,0.5614007,0.5893487,0.6057439,0.6312476,0.6286928,0.6158642,0.6247422,0.6386713,0.6488344,0.6743578,0.6976299,0.6763403,0.6686867,0.6604103,0.6534411,0.6405509,0.640833,0.6413053,0.6447104,0.6375649
Africa,0.1068524,0.1080034,0.1079428,0.1071189,0.1047238,0.1069056,0.1095057,0.1054748,0.1010121,0.1058617,0.1096403,0.1111622,0.1111901,0.1099516,0.1142891,0.1183035,0.1210102,0.1214567,0.1261273,0.11771,0.1166984,0.1194869,0.1172568,0.1178303,0.1238847,0.1250244,0.1309394,0.1360447,0.1408364,0.1414669,0.1440522,0.1451575,0.1478894,0.150356,0.1549902,0.1567436,0.1617408
All Countries,0.1659059,0.1689476,0.1750352,0.1791343,0.1830798,0.1886034,0.194705,0.1969176,0.1948916,0.1983494,0.1991561,0.2060086,0.2137952,0.2268867,0.2338871,0.2363908,0.2440743,0.2630655,0.2699805,0.2700025,0.2769562,0.2780764,0.2770501,0.2830554,0.2911642,0.3000826,0.3124934,0.3264524,0.3224634,0.3227038,0.3192508,0.3161249,0.3161357,0.3192103,0.3227444,0.3244262,0.3272814
Asia and Pacific,0.1495735,0.1549767,0.1664197,0.1734315,0.186114,0.1977908,0.2094284,0.2171624,0.2094734,0.2171731,0.2194766,0.2232835,0.2340749,0.2472104,0.2548211,0.2579229,0.2661085,0.2902128,0.2881851,0.2939395,0.300553,0.2989669,0.3020435,0.3045848,0.309012,0.3106355,0.3195283,0.3354998,0.3342266,0.3375828,0.3408216,0.3406712,0.3396517,0.3460746,0.3508756,0.3571268,0.3611064
Emerging Markets,0.1543483,0.1583452,0.1675661,0.1700379,0.1678534,0.1687763,0.1754123,0.1734239,0.1728836,0.1719796,0.1715139,0.1829092,0.2016667,0.2116167,0.2144197,0.2193944,0.2282707,0.2469618,0.2463581,0.2420993,0.246853,0.2487251,0.2512271,0.259646,0.2701186,0.2838814,0.2969087,0.3150927,0.3149622,0.3187382,0.313653,0.3078931,0.3124183,0.3173545,0.3229358,0.324508,0.3301909
Europe,0.2201258,0.2207278,0.2344134,0.2435388,0.248179,0.2606953,0.266515,0.2758937,0.273068,0.2758043,0.2804042,0.3092707,0.327561,0.3617631,0.3791892,0.3757872,0.3936433,0.4333691,0.4590836,0.462757,0.4869265,0.4823775,0.4691291,0.4809712,0.4951723,0.5124745,0.5409951,0.5712324,0.5494842,0.5454392,0.5373817,0.5290117,0.5175978,0.5191957,0.5176873,0.5173899,0.5136572
Low-Income and Developing Countries,0.0993668,0.1008596,0.103464,0.1038135,0.1052839,0.1056302,0.1041442,0.1017062,0.1013983,0.1063368,0.1065461,0.1081872,0.1047419,0.1046571,0.109426,0.1131051,0.11356,0.1155807,0.1199318,0.1160288,0.1152831,0.1175407,0.1188007,0.1202334,0.1221784,0.1244534,0.1287568,0.1323095,0.1332838,0.1336105,0.1348647,0.1371262,0.1388289,0.1411842,0.1439223,0.1447725,0.1497639
Middle East and Central Asia,0.1348306,0.1388742,0.1430922,0.1475849,0.1537292,0.1573054,0.1607133,0.1563835,0.1563044,0.158794,0.1539859,0.157231,0.1620192,0.1727035,0.1759243,0.1865395,0.1918594,0.2092059,0.215102,0.2106704,0.2092378,0.2177152,0.2277527,0.2394557,0.2477815,0.2667814,0.2734003,0.2829955,0.2842211,0.2784048,0.2597213,0.2486096,0.2544852,0.2545379,0.2659473,0.265785,0.276554
