Area,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bangladesh,157.6,226.7,189.9,303.3,218.9,164.9,193.1,258.2,281.645,181.6,178.5,187.9,245.2,233.4,324.6,209.6,259.1,317.6,272.9,239.6,307.8,269,226.5,289.3,319.1,332.4,456.3,468,434.8,577.2,1144.148134,508.180705,708.81608,1113.364427,948.08417,895.37219,1464.573499,2109.777902
Bhutan,,,,,,,,,0.397,0.4,0.3,0.8,0.2,0.2,0.4,0.1,0.5,2.6,0.7,0.8,0.7,0.8,1,2.1,3,3.2,4.2,4.1,2.7,3.6,3.838631,2.488897,2.351165,2.422028,2.64104,1.976204,2.548776,55.897123
Brunei Darussalam,45.1,78.9,57.6,34.4,50.6,201.9,92.7,77.8,63.024,139.4,162.3,453.1,478.2,376,189.6,375.2,178,123,69.1,144.5,103.9,46.5,35.6,49.3,49.7,48.1,139.7,111.5,100.3,124.2,184.371635,157.609639,558.298747,549.203022,133.416784,614.919584,121.142982,266.70706
Cambodia,11.6,1.6,2.4,1.1,,0.1,0.1,,0.032,,,16.1,18.2,7.4,26.9,21.4,18.3,10.9,18.5,30.1,29.8,29.2,57.8,58.7,69.6,74.5,138.8,154.1,127.2,153.5,186.568289,226.40453,241.226173,327.933341,392.368263,361.638031,399.96657,446.599955
"China,P.R.: Mainland",3602.7,2912,2173.1,3004.3,3855.7,3106.3,3497.3,5016.8,5807.367,4807.2,6287.1,7469.6,8767.1,9286.9,11748.5,11977.9,12805.4,14258,12943.6,15963.7,19234.9,22052.7,28418.5,34721,41836.7,55224,65238.4,71457,69576,91878.3,104121.5236,110516.6157,121721.1489,123675.6674,116186.2623,115775.1228,130369.5296,120341.4256
Fiji,,,,,,,,15.3,20.774,24.9,18,59,26.8,118,31.8,27.5,32.6,34.1,125.9,23.6,19.4,16.9,19.6,25.3,28.1,32.6,30,55.1,31,44,42.62853,55.608118,66.935699,79.515154,57.422098,55.009162,66.136091,104.997657
French Polynesia,23,21.5,28.9,6.6,,6.4,2.3,86.7,73.926,70.2,79.7,81.8,102.4,71.7,82.3,88.2,105.9,99.8,94.6,92.5,83.2,78.8,91.5,93,111.7,108.2,124.3,130.5,112.8,121.9,126.618809,129.855209,126.287434,129.544341,120.111999,100.477868,119.380346,287.920181
Guam,,,,,,,,,2.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,1747.6,1598.5,1827.9,1569.7,1641.9,1536.2,1463.6,2490,2463.184,2486.4,2002.7,1914.4,2767.3,2296.3,3295.8,3317.9,3615.6,3544.8,3666.7,3652.7,3764.2,4098,4986.4,6095,7957.9,10091.3,17592.4,18666.4,16462.4,19222.8,21542.18438,22105.73786,21811.3513,21607.50271,21529.61222,21688.96273,25700.46158,33120.07988
Indonesia,1301.8,2024.7,1466.1,1216.6,795,946.1,767.3,1046.7,1256.343,1897,1891.9,2778,2921.8,2811,3395.2,3964.9,4531.6,2290.9,1925.2,2478.8,2500.2,2581,2520.1,2669.1,3045.2,3078.1,4234.6,5913.1,5106.4,6942.7,7421.405814,7997.976489,9096.784624,8284.067499,7122.875072,6037.495165,6870.593816,8227.696966
Kiribati,,,,,,,,3.4,15.524,19.1,27.4,35.5,30.7,23.5,2.3,4.1,2.8,2.9,6.9,4.3,5.9,3.7,1.4,1.4,2.2,1.3,1.3,7.3,0.7,9.3,17.667015,4.605948,6.983607,3.293815,7.320835,1.15178,4.928546,4.442645
Lao People's Dem.Rep,0.3,0.4,0.1,0.1,0.2,,0.2,0.6,0.341,1,0.8,0.9,4.7,5.5,1.6,3.6,2.6,3.5,1.1,4.3,3.6,4.2,4.5,6,9.8,6.7,13.3,18.3,20.5,12.1,26.084818,33.494345,24.400348,28.484907,24.584007,30.881263,25.67166,15.055031
Malaysia,1536.9,1736.2,1683.9,1855.8,1539.2,1729.6,1896.6,2140.8,2874.871,3424.7,3901.9,4395.9,6064.5,6964.5,8818.3,8521.1,10827.7,8953.6,8839.3,10829.6,9380.2,10348.1,10920.4,10896.5,10450.9,12550.1,11679.8,12963,10401.5,13981.9,14264.01983,12817.72318,13006.57356,13068.41309,12292.5513,11866.91373,12826.16706,12864.62512
Maldives,,,,,,,,,2.728,0.3,1.3,1.6,0.9,1,1.1,2.4,5.5,4.7,8.4,5.9,6.5,4.2,6.5,10,9.2,17.6,19.3,20.3,17.3,28.4,44.835389,30.051856,28.778952,28.985734,35.187022,31.053994,34.279777,37.719785
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.23,297.28897,290.066444
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98,35.6949,46.814194
Mongolia,,0.3,0.1,,,,0.8,,0.004,,12.3,2.3,16.5,7,13.9,4.3,34.1,20.2,7.2,17,12.1,66.2,20.8,28.2,21.8,23,26.1,57.2,40.7,114.9,315.176816,664.955251,279.573362,167.465762,69.356285,55.60797,81.430374,120.919707
Myanmar,34,33.9,15.4,15.9,9.8,16,7.8,10.6,4.722,20.1,23.8,4.1,12.4,11.1,16.1,32,20,32,12.1,17.1,11.5,10.5,6.8,11.5,5.3,7.6,8.6,10.7,7,9.8,48.949883,65.765942,145.830603,92.856414,227.309857,155.301707,211.368799,263.565281
Nauru,,,,,,,6.3,,0.147,0.2,,0.2,86.6,0.1,0.5,,1,0.8,0.9,5.9,4.2,2.9,1.9,0.7,1.6,3.7,8.1,11.1,3.5,2.4,0.499196,2.20892,0.758585,0.812299,1.73365,0.499267,0.198927,0.796958
Nepal,7.4,6.2,7.5,3.9,7.3,7.7,55.6,64.3,8.802,9.7,6,5.1,5.4,7.5,9.8,8.4,26.8,15.6,22,27.3,14.1,19.9,16.3,25.1,24.7,16.6,28.9,28.9,30.9,28.3,40.354262,37.013899,32.51373,36.272183,36.478744,40.556922,75.716663,55.468425
New Caledonia,,,,,,,28.4,27.3,64.581,34.3,44.3,36.1,22.5,27.3,22.3,28.6,34.3,19.2,27.1,19.7,25.2,36.7,43.2,45.3,38.3,43.8,57.8,89.2,77.9,108.5,115.33995,75.103196,72.873939,121.189334,88.555105,65.852019,59.3599,63.929746
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,15.07843,20.61354
Papua New Guinea,55.2,66,83.6,52.9,40.6,51.4,50.8,113,121.476,54.1,95.9,71.4,50.5,65.2,51.4,69.2,116.7,65.4,41,24,22.3,23.3,30.2,42.6,55.3,43.8,65.7,69.9,217.8,191.7,304.028723,391.381919,166.733845,143.241059,207.498801,126.810774,105.824949,86.711959
Philippines,1787,1853.5,1807.1,1766.4,1379.3,1363.3,1599.2,1875.5,2206.34,2471.5,2269.2,2753.1,3529,3888.4,5294.2,6124.8,7427.4,6736.1,7183.3,8677.1,7664.5,7270.2,7992.1,7072.1,6892.9,7617.2,7712.8,8313.7,5772.7,7375.5,7727.870939,8087.361107,8403.535537,8453.324276,7908.848137,8263.167036,8466.93377,8706.811342
Samoa,17.8,3.2,4.7,3.6,1.8,2.1,2.6,4,3.859,4.4,6.3,72.8,10.4,7.2,7.4,11.8,10.9,9.7,11.6,64.3,70.1,7,11,12.1,14.6,18.4,16.7,13.2,18.5,19.2,23.786831,24.702919,28.394642,22.948737,22.693396,27.936764,38.333446,39.054159
Solomon Islands,,,,,,,7.6,5,5.817,6.4,4.5,53.9,2.6,1.1,2.7,7.1,2.1,2.9,1.7,5.8,7.4,1.8,1.9,2.6,2.3,5.7,5.5,5.2,6.1,5.2,6.056589,7.254847,8.933554,6.599026,5.861309,9.894278,9.303881,11.720226
