Area,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,4.5,3.2,4,2.5,3.7,3.5,2.4,2.6,3.017,2.5,3.4,5.7,8.2,6.5,10.3,11.2,12.4,13,9.1,8.7,7.7,6.3,4.7,12.1,39,25.1,10.1,12.4,15.8,32.2,26.413904,18.856919,22.776586,68.96881,160.003661,124.694903,41.604158,68.025429
Bosnia and Herzegovina,,,,,,,,,,,,,8,4.6,3.6,9.6,8.9,7.9,15.5,19,12.6,16.9,12.6,12.3,72.7,27,26.5,28,26.2,26.9,49.691067,51.579899,57.733704,83.296104,77.517653,75.530208,85.442842,102.953099
Bulgaria,37,30.9,30.1,31,39,60.9,47.2,31.5,65.9,52.7,60.9,83.7,171.9,239.3,200.5,136.4,185,232.2,206.4,249.5,367.2,366.2,477.9,545.7,493,495.4,453.2,416.8,240.9,273.7,415.736901,509.430226,513.729166,604.382777,594.345024,603.913149,659.033264,986.647412
Croatia,,,,,,,,,,,,,112.4,124,99.5,75.7,87.1,76.1,116.5,143.8,147.8,149.9,186.2,300.1,372.6,360.8,341.9,281.8,261.5,350.1,437.959216,444.05193,425.098141,462.584205,574.921419,510.219139,436.68136,465.812557
Czechoslovakia,72.9,67.6,68.3,95.8,85.2,92.7,86.1,95.9,94.972,94.4,154.4,256.1,,,,,,0.7,,,,,,,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,39.3,31.6,17,32.6,23.2,9.4,10.1,8.2,8.6,14.9,11.8,,24.5,14.4,16.7,18.5,7.5,4.7,4.8,9.3,22.1,85,92.8,105.951574,72.626589,126.272024,138.075189,97.886196,134.66768,118.624435,110.794925
Gibraltar,1.1,0.8,3.4,2.7,0.8,5,2.1,1.6,1.196,0.3,0.8,8.3,3.8,4,4.9,6.3,2.9,5.9,7.9,2.2,2.6,0.9,2.8,1.6,4.7,1,3.3,1.3,0.8,0.6,1.095259,0.581807,0.230263,0.220085,1.813662,0.349764,0.636481,0.467779
Hungary,140.4,145.4,172,241.8,241.2,247.2,305.4,322.3,360.818,377.4,395.4,372.2,426.4,502.5,578,702,1108.3,1610.8,1874.3,2532,3013.3,2692.6,2759.9,2644,2632.9,2645.4,2868.8,3191.9,2267.6,2544.3,2948.676937,3201.285721,3767.857727,5283.57831,5691.973787,5343.685913,5088.992758,5081.881402
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.314289,0.258815,0.482251,0.585762,2.382178,2.165086,2.014074,2.572899
"Macedonia, FYR",,,,,,,,,,,,,117.3,88,93.6,131.4,154.7,163.4,145.4,146.7,116.9,78.5,64.5,83,50.5,44.9,76.7,80.2,46.3,38.8,52.489815,86.760394,62.03001,167.091882,202.528371,230.681609,255.01895,353.427666
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,0.4,16.7,4.2,4.386631,3.665724,1.696887,2.716969,2.066329,1.947872,2.145753,4.636442
Poland,400.8,229.1,208.9,244.4,248.4,261.3,329.6,417.5,423.916,442.8,386.7,399.5,488,703.5,711.1,668.5,745,833.7,862.1,1084,1023,1171.5,1420.2,1951.9,2074,2376.7,2350.4,2723.9,2143.3,3106.9,4378.519315,4621.448472,4885.379982,5152.14925,5580.604318,5969.98905,7110.461848,8043.264454
Romania,612.3,380.2,553,968.9,951.1,838.7,781.5,736.9,388.295,252.9,77.1,95,76.1,211.5,240.6,269.1,428.5,420.1,455.3,491.5,555.2,744.5,785.1,918.9,1310.3,1194,1124.6,1172.6,772.2,1060,1435.060858,1620.365188,1716.149362,2102.923353,2135.744843,1963.143105,2201.313008,2589.680671
"Serbia, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,60.8,74.2,64.2,168.3,133.708741,145.547986,524.421207,278.991619,271.171746,310.901734,221.973778,322.753119
Serbia and Montenegro,,,,,,,,,,,,,,,,9.1,11.3,13.8,6,3.7,6.1,10.5,15.8,97.7,24.6,,,,,,,,,,,,,
